RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1235665	-1806383	-34.05	23.2	34:03:00S	23:12:00E	34HGH0306530117	SI34-08	V	FRST		SF	11				D				HARKERVILLEFOREST	Harkerville Forest	Harkerville Forest	HARKERVILLEFOREST	Harkerville Forest	Harkerville Forest		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1235446	-1806136	-23.016667	29.9	23:01:00S	29:54:00E	35KQQ9724951692	SF35-16	V	FRST		SF	09				V				HANGLIPFORESTRESERVE	Hanglip Forest Reserve	Hanglip Forest Reserve	HANGLIPFORESTRESERVE	Hanglip Forest Reserve	Hanglip Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1235446	-1806135	-23.016667	29.9	23:01:00S	29:54:00E	35KQQ9724951692	SF35-16	V	FRST		SF	09				N				HANGLIPBOSRESERVAAT	Hanglip Bosreservaat	Hanglip Bosreservaat	HANGLIPBOSRESERVAAT	Hanglip Bosreservaat	Hanglip Bosreservaat		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1214148	-1781509	-32.533333	26.566667	32:32:00S	26:34:00E	35HME5930800363	SI35-02	V	FRST		SF	05				N				BOTHASFOREST	Botha’s Forest	Botha's Forest	BOTHASFOREST	Botha’s Forest	Botha's Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1220445	-1788836	-24.85	30.95	24:51:00S	30:57:00E	36JTT9285650104	SG36-01	V	FRST		SF	07				D				DEHOUTBOSCHFORESTRESERVE	De Houtbosch Forest Reserve	De Houtbosch Forest Reserve	DEHOUTBOSCHFORESTRESERVE	De Houtbosch Forest Reserve	De Houtbosch Forest Reserve		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1220341	-1788728	-23.833333	30.016667	23:50:00S	30:01:00E	36KSU9607961026	SF36-13	V	FRST		SF	09				N				DEHOEKSTAATSBOS	De Hoek Staatsbos	De Hoek Staatsbos	DEHOEKSTAATSBOS	De Hoek Staatsbos	De Hoek Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1220341	-1788725	-23.833333	30.016667	23:50:00S	30:01:00E	36KSU9607961026	SF36-13	V	FRST		SF	09				V				DEHOEKBOSRESERVAAT	De Hoekbosreservaat	De Hoekbosreservaat	DEHOEKBOSRESERVAAT	De Hoekbosreservaat	De Hoekbosreservaat		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1218217	-1786293	-29.666667	29.333333	29:40:00S	29:20:00E	35JQH2582515873	SH35-08	V	FRST		SF	02				N				COBHAMSTATEFOREST	Cobham State Forest	Cobham State Forest	COBHAMSTATEFOREST	Cobham State Forest	Cobham State Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1208337	-1774761	-23.9	30.033333	23:54:00S	30:02:00E	36KSU9793353675	SF36-13	V	FRST		SF	09				N				BACCARATBOSRESERVAAT	Baccarat-Bosreservaat	Baccarat-Bosreservaat	BACCARATBOSRESERVAAT	Baccarat-Bosreservaat	Baccarat-Bosreservaat		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1284268	-1864246	-25.716667	30.583333	25:43:00S	30:35:00E	36JTS5752353473	SG36-05	V	FRST		SF	07				N				SLAAIHOEKPLANTATION	Slaaihoek Plantation	Slaaihoek Plantation	SLAAIHOEKPLANTATION	Slaaihoek Plantation	Slaaihoek Plantation		2004-05-11	1,2,3,4,5	1			1993-09-01		
