RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	11846723	14432356	-25.580909	30.130431	25:34:51S	30:07:50E	36JTS1173367608	SG36-05	A	ADM3		SF	07				N				EMAKHAZENI	Emakhazeni	Emakhazeni	EMAKHAZENI	Emakhazeni	Emakhazeni		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846723	14432354	-25.580909	30.130431	25:34:51S	30:07:50E	36JTS1173367608	SG36-05	A	ADM3		SF	07				N				EMAKHAZENILOCALMUNICIPALITY	Emakhazeni Local Municipality	Emakhazeni Local Municipality	EMAKHAZENILOCALMUNICIPALITY	Emakhazeni Local Municipality	Emakhazeni Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846526	14431858	-29.035296	30.656074	29:02:07S	30:39:22E	36JTN7174585837	SH36-05	A	ADM3		SF	02				N				UMVOTI	Umvoti	Umvoti	UMVOTI	Umvoti	Umvoti		2013-09-24	1,2,3,4,5,6,7,8,9	1			2013-09-24		
3	11846526	14431856	-29.035296	30.656074	29:02:07S	30:39:22E	36JTN7174585837	SH36-05	A	ADM3		SF	02				N				UMVOTILOCALMUNICIPALITY	Umvoti Local Municipality	Umvoti Local Municipality	UMVOTILOCALMUNICIPALITY	Umvoti Local Municipality	Umvoti Local Municipality		2013-09-24	1,2,3,4,5,6,7,8,9	2			2022-01-26		
3	11846548	14431861	-27.801236	29.879362	27:48:04S	29:52:46E	35JQK8369221489	SG35-16	A	ADM3		SF	02				N				NEWCASTLE	Newcastle	Newcastle	NEWCASTLE	Newcastle	Newcastle		2013-09-24	1,2,3,4,5,6,7,8,9	1			2013-09-24		
3	11846548	14431860	-27.801236	29.879362	27:48:04S	29:52:46E	35JQK8369221489	SG35-16	A	ADM3		SF	02				N				NEWCASTLELOCALMUNICIPALITY	Newcastle Local Municipality	Newcastle Local Municipality	NEWCASTLELOCALMUNICIPALITY	Newcastle Local Municipality	Newcastle Local Municipality		2013-09-24	1,2,3,4,5,6,7,8,9	2			2022-01-26		
3	11846549	14431864	-28.014888	30.052954	28:00:54S	30:03:11E	36JTP1020797646	SH36-01	A	ADM3		SF	02				N				DANNHAUSER	Dannhauser	Dannhauser	DANNHAUSER	Dannhauser	Dannhauser		2013-09-24	1,2,3,4,5,6,7,8,9	1			2013-09-24		
3	11846549	14431862	-28.014888	30.052954	28:00:54S	30:03:11E	36JTP1020797646	SH36-01	A	ADM3		SF	02				N				DANNHAUSERLOCALMUNICIPALITY	Dannhauser Local Municipality	Dannhauser Local Municipality	DANNHAUSERLOCALMUNICIPALITY	Dannhauser Local Municipality	Dannhauser Local Municipality		2013-09-24	1,2,3,4,5,6,7,8,9	2			2022-01-26		
3	11846551	14431866	-27.583133	30.295537	27:34:59S	30:17:44E	36JTQ3301746056	SG36-13	A	ADM3		SF	02				N				EMADLANGENI	Emadlangeni	Emadlangeni	EMADLANGENI	Emadlangeni	Emadlangeni		2013-09-24	1,2,3,4,5,6,7,8,9	1			2013-09-24		
3	11846551	14431865	-27.583133	30.295537	27:34:59S	30:17:44E	36JTQ3301746056	SG36-13	A	ADM3		SF	02				N				EMADLANGENILOCALMUNICIPALITY	Emadlangeni Local Municipality	Emadlangeni Local Municipality	EMADLANGENILOCALMUNICIPALITY	Emadlangeni Local Municipality	Emadlangeni Local Municipality		2013-09-24	1,2,3,4,5,6,7,8,9	2			2022-01-26		
